sku,n_observed,n_positive,n_zero,total_sales,mean_sales,median_sales,std_sales,nonzero_mean,CV2,ADI,zero_ratio,approx_entropy,trailing_zero_share,acf1,acf1_zero_variance
LTKF0005A,104,14,90,20.0,0.19230769230769232,0.0,0.5410691156418179,1.4285714285714286,0.2046153846153846,7.428571428571429,0.8653846153846154,0.4195790372810736,0.04807692307692308,0.26950354609929156,False
LTKF0006A,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.0557810849705159,0.5865384615384616,-0.0098039215686275,False
LTKF0008,104,5,99,11.0,0.10576923076923077,0.0,0.5731579905670502,2.2,0.5578512396694214,20.8,0.9519230769230769,0.07089482769589789,0.5480769230769231,0.20177956371986394,False
LTKF0009,104,5,99,15.0,0.14423076923076922,0.0,0.7428398569171185,3.0,0.38888888888888884,20.8,0.9519230769230769,0.11159739935283608,0.5384615384615384,0.3311688311688298,False
LTKF0010,104,1,103,2.0,0.019230769230769232,0.0,0.19611613513818404,2.0,,104.0,0.9903846153846154,0.05578108497051587,0.5576923076923077,-0.009803921568627498,False
LTKF0012,104,3,101,5.0,0.04807692307692308,0.0,0.32320625811937487,1.6666666666666667,0.48000000000000015,34.666666666666664,0.9711538461538461,0.05645197853186662,0.5480769230769231,0.34927797833935076,False
LTKF0016,104,2,102,7.0,0.0673076923076923,0.0,0.48800014079504317,3.5,0.04081632653061225,52.0,0.9807692307692307,0.05611800812885748,0.5384615384615384,0.46991290577989,False
LTKF0018A,104,1,103,3.0,0.028846153846153848,0.0,0.294174202707276,3.0,,104.0,0.9903846153846154,0.0557810849705159,0.5480769230769231,-0.009803921568627402,False
LTKF0019,135,38,97,83.0,0.6148148148148148,0.0,1.5928252622923815,2.1842105263157894,1.1880357640264743,3.5526315789473686,0.7185185185185186,0.6047376611226807,0.007407407407407408,0.34038017800241643,False
LTKF0020,135,73,62,1509.0,11.177777777777777,4.0,14.139954330114064,20.671232876712327,0.4051964993779317,1.8493150684931507,0.45925925925925926,0.5252202731532192,0.0,0.7411124647502942,False
LTKF0021,135,66,69,296.0,2.1925925925925926,0.0,3.057889957061398,4.484848484848484,0.4394097319772997,2.0454545454545454,0.5111111111111111,0.5652929283617829,0.0,0.633774905831037,False
LTKF0022,104,12,92,25.0,0.2403846153846154,0.0,0.8757265201039894,2.0833333333333335,0.6894545454545452,8.666666666666666,0.8846153846153846,0.1804390502211065,0.19230769230769232,0.5439114391143897,False
LTKF0022M,135,53,82,176.0,1.3037037037037038,0.0,2.416590894906374,3.3207547169811322,0.7456020541958043,2.547169811320755,0.6074074074074074,0.4081460035690745,0.0,0.7331899951404437,False
LTKF0023,104,1,103,1.0,0.009615384615384616,0.0,0.09805806756909202,1.0,,104.0,0.9903846153846154,0.0557810849705159,0.5769230769230769,-0.0098039215686275,False
LTKF0024A,104,15,89,21.0,0.20192307692307693,0.0,0.5284123076168137,1.4,0.131195335276968,6.933333333333334,0.8557692307692307,0.27930708536862314,0.08653846153846154,0.5473292765382023,False
LTKF0031,135,62,73,270.0,2.0,0.0,3.2137763159490773,4.354838709677419,0.6467552677145877,2.1774193548387095,0.5407407407407407,0.35845156360130415,0.0,0.6587244006309539,False
LTKF0047,135,22,113,54.0,0.4,0.0,1.3055564376695088,2.4545454545454546,0.9283428048860148,6.136363636363637,0.837037037037037,0.32388860582157175,0.037037037037037035,0.5399555323044737,False
LTKF0058,135,12,123,18.0,0.13333333333333333,0.0,0.46999523655890346,1.5,0.202020202020202,11.25,0.9111111111111111,0.17498806963612334,0.08148148148148149,0.560544904137235,False
LTKF0101,135,45,90,431.0,3.1925925925925926,0.0,5.6561897098906675,9.577777777777778,0.38029437630268803,3.0,0.6666666666666666,0.3596115941582434,0.0,0.6555297850103867,False
LTKF0102,135,16,119,28.0,0.2074074074074074,0.0,0.6120225375849203,1.75,0.15238095238095237,8.4375,0.8814814814814815,0.23198708378193833,0.05925925925925926,0.48154761904761884,False
LTKF0103,104,4,100,7.0,0.0673076923076923,0.0,0.3755752371698717,1.75,0.2993197278911565,26.0,0.9615384615384616,0.07089482769589811,0.04807692307692308,0.17379679144385018,False
LTKF0106,135,5,130,7.0,0.05185185185185185,0.0,0.28174611516527454,1.4,0.15306122448979592,27.0,0.9629629629629629,0.1621276315304686,0.022222222222222223,-0.034385964912280645,False
LTKF0111,135,23,112,40.0,0.2962962962962963,0.0,0.773382511160079,1.7391304347826086,0.33715909090909085,5.869565217391305,0.8296296296296296,0.3168616630977106,0.0,0.4280445279108307,False
LTKF093,135,30,105,82.0,0.6074074074074074,0.0,1.7959169956232945,2.7333333333333334,1.1901782600668727,4.5,0.7777777777777778,0.4285948408716389,0.044444444444444446,0.24737315083644398,False
LTKF098,135,35,100,176.0,1.3037037037037038,0.0,2.7570102617137886,5.0285714285714285,0.4221864365580943,3.857142857142857,0.7407407407407407,0.2872921160693582,0.022222222222222223,0.7266028651949273,False
LTKF098B,30,21,9,58.0,1.9333333333333333,2.0,1.7406565018610836,2.761904761904762,0.2609393579072532,1.4285714285714286,0.3,0.4779997264637532,0.1,0.45702644059768244,False
LYC0201,135,26,109,88.0,0.6518518518518519,0.0,2.1241978943371183,3.3846153846153846,1.271528925619835,5.1923076923076925,0.8074074074074075,0.22961140384039336,0.007407407407407408,0.6706437428980783,False
LYC0203,135,15,120,24.0,0.17777777777777778,0.0,0.5580705923712983,1.6,0.21205357142857145,9.0,0.8888888888888888,0.32149323195738055,0.05185185185185185,0.40050107372942007,False
NNB0002,135,19,116,239.0,1.7703703703703704,0.0,5.690973136023086,12.578947368421053,0.6167648014254342,7.105263157894737,0.8592592592592593,0.10101335391037691,0.0962962962962963,0.8692561445895101,False
NNBZL01,30,9,21,37.0,1.2333333333333334,0.0,3.1914036835324304,4.111111111111111,1.3970051132213301,3.3333333333333335,0.7,0.16553063532866952,0.26666666666666666,0.4860328638497661,False
QCCXC0004,135,13,122,115.0,0.8518518518518519,0.0,4.686465935325143,8.846153846153847,2.155034656584751,10.384615384615385,0.9037037037037037,0.12804022648215513,0.1259259259259259,0.5534115033137315,False
QCCXC0005,104,35,69,135.0,1.2980769230769231,0.0,2.4291106994416487,3.857142857142857,0.5185185185185185,2.9714285714285715,0.6634615384615384,0.48288359586314433,0.11538461538461539,0.584198385236448,False
QCCXC0007,104,43,61,246.0,2.3653846153846154,0.0,4.573154447228698,5.72093023255814,0.9665590209909067,2.4186046511627906,0.5865384615384616,0.44297238191369304,0.10576923076923077,0.5368788749706273,False
QCSSXC0004,104,3,101,3.0,0.028846153846153848,0.0,0.1681845247161448,1.0,0.0,34.666666666666664,0.9711538461538461,0.13286299557309883,0.38461538461538464,-0.02999999999999992,False
QCSSXC0005,104,26,78,100.0,0.9615384615384616,0.0,2.896006882344035,3.8461538461538463,1.55584,4.0,0.75,0.3423557137353386,0.11538461538461539,0.3684180918091807,False
QCSSXC0006,104,28,76,79.0,0.7596153846153846,0.0,1.8459885257071802,2.8214285714285716,0.8751921285169157,3.7142857142857144,0.7307692307692307,0.30653372589562733,0.057692307692307696,0.569073478887288,False
QCXDS001,104,17,87,135.0,1.2980769230769231,0.0,4.564276243293492,7.9411764705882355,1.2378052126200272,6.117647058823529,0.8365384615384616,0.180784687434418,0.25,0.638069535134355,False
QCXXC0001,104,20,84,41.0,0.3942307692307692,0.0,0.9390996434901284,2.05,0.28742289990294007,5.2,0.8076923076923077,0.3986101568264897,0.09615384615384616,0.426552462526766,False
